经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18105,苏州恒合汽车销售有限公司,东区,东区,,,110451.17000000003,17103.36,127554.53000000003,,127554.53000000003,,
M18398,杭州富阳万达汽车贸易有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18517,宁波中基鑫通达汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18390,保定市威达汽车销售服务有限公司,北区,北区,,,91859.41000000003,18430.38,110289.79000000004,,110289.79000000004,,
A25540,菏泽祥通汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18615,珠海市钜荣汽车贸易有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A13275,烟台裕顺汽车服务有限公司,中区,中区,,,110068.9500000001,5029.9400000000005,115098.8900000001,,115098.8900000001,,
A32364,淄博安华汽车销售服务有限公司,中区,中区,,,52837.800000000025,14901.400000000001,67739.20000000003,,67739.20000000003,,
M18371,贵州正合隆汽车销售有限公司,西区,西一区,,,144864.5300000001,636.81,145501.34000000008,,145501.34000000008,,
A32359,马鞍山中冠汽车销售服务有限公司,中区,中区,,,54090.77000000001,17839.420000000002,71930.19000000002,,71930.19000000002,,
M18201,贺州市均浩汽车销售有限公司,南区,南一区,,,79760.93999999999,0.0,79760.93999999999,,79760.93999999999,,
M18077,茂名市京粤名达汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A13279,河北骏达汽车贸易有限公司,北区,北区,,,80005.80000000005,21824.29,101830.09000000005,,101830.09000000005,,
M18167,北海瑞祥盛汽车销售服务有限公司,南区,南一区,,,42804.499999999985,13655.080000000002,56459.57999999999,,56459.57999999999,,
M18370,兰州金岛骄马汽车销售有限公司,西区,西二区,,,166577.4299999999,8708.67,175286.09999999992,,175286.09999999992,,
M18507,六安市泰源汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18237,湛江市万马汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
