经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,3月零附件目标,3月零附件达成,3月达成率,Q1零件目标,Q1零件达成,Q1达成率,机油金额,保养台次,机油单车,事故件金额,事故台次,事故单车,工单数
M18003,重庆金团汽车销售服务有限公司,重庆金团,重庆市,重庆市,重庆金团,正常,西区,孔立刚,612600,190405.36999999988,0.31081516487104127,1527100,1102201.99,0.7217615021937005,41592.600000000006,129.0,322.4232558139535,68870.09000000003,79.0,871.7732911392409,255.0
A13544,昆山富骏汽车销售服务有限公司,昆山富骏,江苏省,苏州市,江苏富骏,正常,东区,晏礼奎,625300,317655.3099999997,0.5080046537661917,1558800,1379337.7899999996,0.8848715614575312,85698.98999999999,229.0,374.2313973799126,114831.51999999997,18.0,6379.528888888887,299.0
M18196,陕西骏威汽车销售服务有限公司,陕西骏威,陕西省,西安市,西安骏广,正常,西区,李兴坤,471200,166367.16999999995,0.35307124363327663,1174700,973547.4199999999,0.828762594705031,33732.630000000005,116.0,290.79853448275867,80636.40000000002,34.0,2371.6588235294125,195.0
M18190,河南小伙伴汽车销售有限公司,河南小伙伴,河南省,郑州市,河南小伙伴,正常,中区,倪超,614700,152350.78000000003,0.24784574589230524,1532400,943730.98,0.6158515922735578,23265.9,129.0,180.3558139534884,35129.41,28.0,1254.6217857142858,269.0
M18333,无锡荣事达汽车贸易服务有限公司,无锡荣事达,江苏省,无锡市,无锡荣事达,正常,东区,晏礼奎,551100,196982.26999999984,0.35743471239339475,1373900,1117495.0999999999,0.8133744086178032,32209.65,118.0,272.96313559322033,80380.28,42.0,1913.8161904761905,213.0
M18537,上海路帅汽车销售有限公司,上海路帅,上海市,上海市,,正常,东区,张晔,568000,137214.57999999993,0.24157496478873228,1416000,860231.1199999999,0.6075078531073446,14433.3,124.0,116.39758064516128,56904.84,32.0,1778.27625,200.0
M18561,四川中鹏汽车销售服务有限公司,四川中鹏,四川省,成都市,四川中鹏,正常,西区,陈莉,580800,301246.2799999997,0.5186747245179057,1447900,1376043.0299999998,0.9503715933420815,48966.6,146.0,335.3876712328767,133116.56,2.0,66558.28,204.0
M18276,辽宁福达汽车销售服务有限公司,辽宁福达,辽宁省,沈阳市,辽宁福达,正常,北区,鲁金泽,603900,107614.74,0.17819960258320916,1505400,1093413.54,0.726327580709446,18829.62,110.0,171.17836363636363,48957.47,34.0,1439.925588235294,204.0
A13558,绵阳星鸿达汽车销售服务有限公司,绵阳星鸿达,四川省,绵阳市,绵阳星鸿达,正常,西区,陈莉,588200,222629.24999999985,0.3784924345460725,1466400,1552672.8299999996,1.0588330810147297,36218.520000000004,130.0,278.60400000000004,52499.41,3.0,17499.803333333333,181.0
M18285,吉林省仁德汽车销售服务有限公司,吉林省仁德,吉林省,长春市,吉林仁德,正常,北区,唐宏宇,546000,110157.6,0.20175384615384617,1361200,932804.2100000001,0.6852807890096974,23004.6,84.0,273.8642857142857,42325.68000000001,22.0,1923.8945454545458,184.0
A27896,青岛安隆达汽车销售有限公司,青岛安隆达,山东省,青岛市,青岛安隆达,正常,中区,李付敬,551100,151670.45,0.2752140264924696,1373900,921867.47,0.6709858577771308,13468.62,110.0,122.44200000000001,58899.17000000001,0.0,,163.0
A14837,无锡市东方运达汽车销售服务有限公司,无市东方运达,江苏省,无锡市,东方新纪元,正常,东区,晏礼奎,561700,167919.50999999998,0.2989487448816094,1400300,1186257.03,0.8471449189459401,17136.0,252.0,68.0,80935.80000000002,34.0,2380.4647058823534,181.0
A13258,1江西江铃海外马自达汽车销售服务有限公司,江西江铃海外,江西省,南昌市,江西江铃海外,正常,南区,王胜文,466300,375797.94,0.8059145185502895,1162500,945336.31,0.8131925247311829,2448.0,130.0,18.83076923076923,84287.09999999999,44.0,1915.6159090909089,321.0
A13305,成都东成安邦汽车销售服务有限公司,成都东成安邦,四川省,成都市,成都东成安邦,正常,西区,陈莉,545800,156307.40999999995,0.2863822096005862,1360700,912553.5999999999,0.6706501065627984,29321.1,128.0,229.07109375,47500.500000000015,56.0,848.2232142857146,218.0
M18131,四川西星实业发展有限公司,四川西星,四川省,成都市,四川西星,正常,西区,陈莉,540500,217096.96000000008,0.40165950046253485,1347400,1118424.65,0.8300613403592103,46536.21,113.0,411.82486725663716,72587.86000000002,11.0,6598.896363636365,171.0
M18351,广东物通驭达汽车有限公司,广东物通驭达,广东省,广州市,广东物通集团,正常,南区,王胜文,476900,151721.01000000004,0.31814009226252893,1188900,772602.3600000001,0.6498463790058038,0.0,90.0,0.0,79660.17,22.0,3620.916818181818,183.0
M18041,绍兴国赛汽车有限公司,绍兴国赛,浙江省,绍兴市,浙江国赛,正常,东区,李波,529900,178169.17999999993,0.33623170409511216,1321100,1107631.0899999999,0.8384157823026265,27979.8,128.0,218.5921875,60838.72,3.0,20279.573333333334,156.0
A24515,上海弘绅汽车销售服务有限公司,上海弘绅,上海市,上海市,锦弘集团,正常,东区,张晔,511900,127951.96000000002,0.2499549912092206,1276100,760965.94,0.5963215578716401,0.0,60.0,0.0,73180.04000000002,27.0,2710.3718518518526,111.0
M18519,宁波合辰汽车销售服务有限公司,宁波合辰,浙江省,宁波市,宁波合辰,正常,东区,李波,541600,193957.62000000005,0.35811968242245207,1350100,1110161.2200000002,0.8222807347603883,36691.32,141.0,260.2221276595745,67010.76000000001,40.0,1675.2690000000002,554.0
M18526,上海景和金沙汽车销售有限公司,上海景和金沙,上海市,上海市,上海景和,正常,东区,张晔,471600,105791.23000000005,0.22432406700593735,1175700,775751.41,0.6598208811771711,26476.620000000003,78.0,339.4438461538462,42146.87000000002,19.0,2218.2563157894747,115.0
M18038,北京仁正利成汽车销售服务有限公司,北京仁正利成,北京市,北京市,北京仁正利成,正常,北区,祁玮,485400,135510.83000000002,0.27917352698805115,1210100,724343.0,0.5985811089992562,9090.84,79.0,115.07392405063291,43588.45,10.0,4358.844999999999,135.0
A21336,佛山骏迪汽车有限公司,佛山骏迪,广东省,佛山市,南宝集团,正常,南区,宋扬,582900,326048.6299999998,0.5593560301938579,1453100,1235217.9,0.8500570504438786,31321.2,93.0,336.78709677419357,140577.2200000001,43.0,3269.2376744186067,273.0
M18078,瑞安市深发汽车销售服务有限公司,瑞安市深发,浙江省,温州市,瑞安深发,正常,东区,陈秋刚,474800,139473.41,0.29375191659646166,1183700,723673.07,0.6113652699163639,11019.3,72.0,153.04583333333332,61084.820000000014,25.0,2443.3928000000005,157.0
M18051,百色万马汽车销售服务有限公司,百色万马,广西壮族自治区,百色市,贵港万马,正常,南区,薛仲锋,445100,151205.40000000008,0.3397110761626603,1109700,926841.81,0.835218356312517,24231.9,113.0,214.441592920354,67058.5,16.0,4191.15625,181.0
M18520,嘉兴市禾通汽车销售服务有限公司,嘉兴市禾通,浙江省,嘉兴市,嘉兴禾通,正常,东区,张晔,444100,119200.11000000006,0.26840826390452616,1107100,683464.3,0.6173464908319032,7344.0,74.0,99.24324324324324,72612.63,0.0,,85.0
A13341,佛山海迪汽车有限公司,佛山海迪,广东省,佛山市,南宝集团,正常,南区,宋扬,556400,136821.10999999993,0.24590422358015804,1387100,837003.95,0.6034200490231417,11019.3,105.0,104.94571428571427,60228.13,0.0,,190.0
A13338,东莞市通益汽车销售服务有限公司,东莞市通益,广东省,东莞市,深圳通利华,正常,南区,张裕坤,635900,210396.33999999976,0.33086387796823363,1585300,1052012.92,0.663604945436195,23330.85,247.0,94.4568825910931,89745.59000000001,0.0,,325.0
M18331,淮安市宏宇翔舜汽车销售服务有限公司,淮安市宏宇翔,江苏省,淮安市,淮安宏宇,正常,东区,钱曦,423900,192904.43,0.45507060627506485,1056900,886473.4099999999,0.8387486138707541,12246.6,88.0,139.16590909090908,90900.00000000003,1.0,90900.00000000003,121.0
M18069,中国长安汽车集团天津销售有限公司,中国长安,天津市,天津市,中国长安,正常,北区,邵传海,394500,53243.19,0.13496372623574146,983500,491823.06,0.5000742857142857,5209.08,60.0,86.818,16715.92,9.0,1857.3244444444442,100.0
A17996,苏州瀚龙汽车销售有限公司,苏州瀚龙,江苏省,苏州市,瀚龙集团,正常,东区,晏礼奎,889100,238897.5199999998,0.26869589472500255,2216500,1484264.2899999998,0.6696432618993908,49836.54,265.0,188.06241509433963,90375.65,2.0,45187.825,322.0
M18539,南通银达汽车销售服务有限公司,南通银达,江苏省,南通市,南通银达,正常,东区,陈秋刚,426000,160912.16999999993,0.3777280985915491,1062000,672106.96,0.6328690772128059,38897.340000000004,122.0,318.83065573770494,57224.81,8.0,7153.10125,154.0
A19820,佛山市耀田汽车有限公司,佛山市耀田,广东省,佛山市,南宝集团,正常,南区,宋扬,529900,206556.81999999995,0.38980339686733334,1321100,875376.95,0.6626121792445688,40110.600000000006,114.0,351.8473684210527,78907.17000000001,14.0,5636.226428571429,240.0
A13340,中山市万事得汽车销售服务有限公司,中山市万事得,广东省,中山市,中山万事得,正常,南区,宋扬,413300,157943.87000000005,0.38215308492620387,1030400,883081.1800000002,0.8570275427018635,10996.38,85.0,129.36917647058823,68293.76000000001,42.0,1626.041904761905,234.0
M18245,常德汇智汽车销售服务有限公司,常德汇智,湖南省,常德市,湖南长驰,正常,南区,李志杰,355000,144655.13000000003,0.4074792394366198,885000,909383.25,1.0275516949152543,30543.239999999998,149.0,204.9881879194631,43010.450000000004,1.0,43010.450000000004,189.0
A15116,柳州鑫广达博骏汽车销售服务有限公司,鑫广达博骏,广西壮族自治区,柳州市,长久集团,正常,南区,薛仲锋,423900,213070.05999999994,0.5026422741212548,1056900,817253.8799999999,0.7732556344024978,34993.86,118.0,296.55813559322036,80245.74000000005,10.0,8024.574000000005,169.0
M18009,桂林鑫广达博骏汽车销售服务有限公司,桂林鑫广达博,广西壮族自治区,桂林市,长久集团,正常,南区,薛仲锋,423900,171367.31999999998,0.40426355272469916,1056900,895300.6499999999,0.847100624467783,34971.6,79.0,442.6784810126582,69347.13000000002,0.0,,117.0
M18365,中山市中达汽车销售服务有限公司,中山市中达,广东省,中山市,中山万事得,正常,南区,宋扬,413300,134417.73999999996,0.32523043793854334,1030400,773419.24,0.7506009704968944,23521.14,60.0,392.019,63585.96,4.0,15896.49,167.0
A15497,福州杰龙车业发展有限公司,福州杰龙,福建省,福州市,福州龙益,正常,南区,陈建民,370900,113005.33000000002,0.3046787004583446,924700,616651.74,0.6668668108575754,46946.01,88.0,533.4773863636364,8213.96,30.0,273.79866666666663,167.0
M18220,上海苏源汽车销售服务有限公司,上海苏源,上海市,上海市,上海苏源,正常,东区,张晔,405900,132309.84000000008,0.32596659275683687,1011900,814477.8900000001,0.8048995849392234,4896.0,112.0,43.714285714285715,59985.7,23.0,2608.073913043478,179.0
M18390,保定市威达汽车销售服务有限公司,保定市威达,河北省,保定市,中冀汽车集团,正常,北区,鲁金泽,419600,110289.79000000004,0.26284506673021935,1046000,638827.27,0.6107335277246654,17710.800000000003,82.0,215.98536585365858,37035.619999999995,10.0,3703.5619999999994,123.0
M18235,湖南长驰长马汽车销售服务有限公司,湖南长驰长马,湖南省,长沙市,湖南长驰,正常,南区,李志杰,392100,149267.24999999997,0.380686687069625,977500,894732.14,0.9153269974424553,13620.54,104.0,130.96673076923076,59975.59999999999,0.0,,125.0
M18014,舟山凯桥汽车销售有限公司,舟山凯桥,浙江省,舟山市,舟山凯桥,正常,东区,李波,331700,112380.19,0.3388006933976485,827000,685786.8300000001,0.8292464691656591,15919.26,97.0,164.1160824742268,36175.62000000001,12.0,3014.6350000000007,133.0
M18251,长沙瑞亿达汽车销售服务有限公司,长沙瑞亿达,湖南省,长沙市,湖南长驰,正常,南区,李志杰,392100,119579.34000000003,0.30497153787299164,977500,719654.52,0.7362194578005116,6276.54,80.0,78.45675,64230.81000000001,31.0,2071.961612903226,165.0
A13261,潍坊东裕车业发展有限公司,潍坊东裕,山东省,潍坊市,潍坊东裕,正常,中区,李伟,402700,107175.45999999999,0.2661421902160417,1004000,822362.69,0.8190863446215139,43693.649999999994,120.0,364.1137499999999,15060.81,20.0,753.0405,211.0
A13265,武汉龙泰元汽车销售服务有限公司,武汉龙泰元,湖北省,武汉市,武汉龙泰元,正常,中区,张哲,445100,155759.34000000005,0.3499423500337004,1109700,919020.53,0.8281702532215914,14433.3,129.0,111.8860465116279,48811.810000000005,0.0,,154.0
A18055,吉林省瑞祥汽车销售服务有限公司,吉林省瑞祥,吉林省,长春市,,正常,北区,唐宏宇,244100,38843.909999999996,0.15913113478082752,608500,359382.66,0.590604207066557,2448.0,54.0,45.333333333333336,20382.590000000004,9.0,2264.732222222223,90.0
M18180,南京天辉汽车销售服务有限公司,南京天辉,江苏省,南京市,南京天和,正常,东区,钱曦,370900,179999.99000000005,0.48530598544081976,924700,800314.4200000002,0.865485476370715,13164.24,96.0,137.1275,81726.21000000002,14.0,5837.58642857143,167.0
M18307,北京华日通汽车销售服务有限公司,北京华日通,北京市,北京市,北京华日通,正常,北区,祁玮,376800,122964.3600000001,0.3263385350318474,939300,705589.1100000001,0.7511861066751837,9773.7,71.0,137.65774647887324,57692.170000000006,46.0,1254.1776086956522,153.0
M18052,咸阳伟益汽车销售服务有限公司,咸阳伟益,陕西省,咸阳市,西安骏广,正常,西区,李兴坤,428200,190056.05999999985,0.44384880896777174,1067400,905041.8599999999,0.8478938167509836,22916.16,63.0,363.74857142857144,71911.80000000002,38.0,1892.4157894736848,138.0
M18118,1赣州腾马汽车服务有限公司,赣州腾马,江西省,赣州市,赣州腾马,正常,南区,王胜文,318000,125608.35000000002,0.39499481132075476,792800,598717.98,0.7551942230070635,14433.3,104.0,138.78173076923076,54355.25,25.0,2174.21,175.0
A13275,烟台泓和汽车销售服务有限公司,烟台泓和,山东省,烟台市,烟台大成,正常,中区,李付敬,423900,115098.8900000001,0.2715236848313284,1056900,851581.79,0.8057354432775098,9792.0,88.0,111.27272727272727,47186.71,0.0,,139.0
M18913,乌鲁木齐笑好景星汽车销售有限公司,乌鲁木齐笑好,新疆维吾尔自治区,乌鲁木齐市,笑好集团,正常,西区,蔡永生,408000,57668.89000000003,0.14134531862745106,1017200,784514.7200000001,0.7712492331891467,2448.0,68.0,36.0,8653.18,6.0,1442.1966666666667,123.0
M18353,厦门吉顺丰汽车贸易有限公司,厦门吉顺丰,福建省,厦门市,厦门吉顺丰,正常,南区,陈建民,360300,164089.69000000003,0.45542517346655575,898300,766040.8,0.8527672269843037,14688.0,108.0,136.0,66450.57000000002,32.0,2076.5803125000007,201.0
M18610,广西马之悦汽车销售服务有限公司,广西马之悦,广西壮族自治区,南宁市,广西马之悦,正常,南区,薛仲锋,392100,166862.78,0.42556179546034173,977500,826322.12,0.8453423222506394,36217.2,90.0,402.4133333333333,65985.25000000001,31.0,2128.556451612904,193.0
M18025,肇庆美轮庆达汽车有限公司,肇庆美轮庆达,广东省,肇庆市,,正常,南区,宋扬,355000,105277.14,0.29655532394366196,885000,531662.17,0.6007482146892655,12243.96,58.0,211.10275862068963,49942.32000000001,12.0,4161.860000000001,148.0
M23002,重庆瀚达汽车销售服务有限公司,重庆瀚达,重庆市,重庆市,,正常,西区,孔立刚,337000,141842.51000000004,0.42089765578635024,840200,702820.72,0.836492168531302,19067.04,62.0,307.5329032258065,48357.36000000001,17.0,2844.5505882352945,98.0
M18049,芜湖瑞马汽车销售服务有限公司,芜湖瑞马,安徽省,芜湖市,芜湖瑞马,正常,中区,李付敬,318000,102303.76,0.3217099371069182,792800,634296.89,0.8000717583249244,26425.2,60.0,440.42,25754.670000000006,0.0,,79.0
A13300,泰州天顺达汽车贸易有限公司,泰州天顺达,江苏省,泰州市,天字集团,正常,东区,钱曦,392100,111431.79,0.284192272379495,977500,715880.76,0.7323588337595908,37444.5,59.0,634.6525423728814,38556.42000000001,10.0,3855.642000000001,86.0
M18099,山西马博士汽车销售有限公司,山西马博士,山西省,太原市,山西马博士,正常,北区,姜洙,390400,187387.1799999999,0.47998765368852436,973400,649723.1799999999,0.6674780973905896,7344.0,74.0,99.24324324324324,82330.12000000002,8.0,10291.265000000003,156.0
M18511,温州将军汽车销售服务有限公司,温州将军,浙江省,温州市,温州将军,正常,东区,陈秋刚,347600,114940.56000000001,0.3306690448791715,866700,615736.81,0.7104382254528673,13302.900000000001,77.0,172.7649350649351,63155.89,0.0,,116.0
A14861,银川瑞鼎汽车销售服务有限公司,银川瑞鼎,宁夏回族自治区,银川市,银川瑞鼎,正常,西区,蔡永生,343400,35630.44000000001,0.10375783343040189,856100,489973.21,0.5723317486274968,2448.0,69.0,35.47826086956522,17795.29,6.0,2965.8816666666667,87.0
M23003,湖州长马汽车销售服务有限公司,湖州长马,浙江省,湖州市,湖州长马,正常,东区,张晔,319000,124647.59000000003,0.3907447962382446,795400,540164.6400000001,0.6791106864470708,30490.14,85.0,358.7075294117647,50861.08,7.0,7265.868571428572,108.0
M18229,天津远大盈之马汽车销售服务有限公司,天津远大,天津市,天津市,天津远大,正常,北区,邵传海,381100,191235.9699999999,0.5017999737601677,950100,806546.95,0.8489074307967582,31234.260000000002,74.0,422.08459459459465,78333.32999999999,16.0,4895.833124999999,134.0
M18573,云南善为汽车销售服务有限公司,云南善为,云南省,昆明市,云南善为,正常,西区,蒋旗,333900,90309.42000000001,0.2704684636118599,832300,581673.5599999999,0.6988748768472905,29258.7,92.0,318.02934782608696,24470.730000000003,6.0,4078.4550000000004,149.0
M18283,长春久鼎汽车销售服务有限公司,长春久鼎,吉林省,长春市,吉林仁德,正常,北区,唐宏宇,287900,63998.06999999999,0.22229270580062518,717700,512789.81000000006,0.7144904695555246,11019.3,65.0,169.5276923076923,22161.960000000003,27.0,820.8133333333334,118.0
M18105,苏州恒合汽车销售有限公司,苏州恒合,江苏省,苏州市,瀚龙集团,正常,东区,晏礼奎,339200,127554.53000000003,0.37604519457547175,845600,661386.4200000002,0.7821504493850522,22038.6,74.0,297.8189189189189,57772.27000000001,32.0,1805.3834375000004,117.0
A30536,周口鑫马汽车销售服务有限公司,周口鑫马,河南省,周口市,周口鑫马,正常,中区,倪超,265000,199749.0099999999,0.7537698490566034,660600,751826.7399999999,1.1380967907962456,22020.3,78.0,282.3115384615385,100075.77,27.0,3706.51,127.0
A26215,桐乡市振华汽车贸易有限公司,桐乡市振华,浙江省,嘉兴市,桐乡振华,正常,东区,张晔,306300,101774.94,0.3322720861900098,763600,612355.2,0.8019319015191199,2448.0,69.0,35.47826086956522,55779.39000000002,2.0,27889.69500000001,93.0
A26096,上饶市福铃达汽车有限公司,上饶市福铃达,江西省,上饶市,,正常,南区,王胜文,222600,60368.68000000001,0.27119802336028753,554900,379830.1099999999,0.6845019102540997,10502.939999999999,65.0,161.58369230769227,26251.01,0.0,,108.0
M18306,北京瑞豪成商贸有限公司,北京瑞豪成商,北京市,北京市,北京瑞豪成,正常,北区,祁玮,256600,18175.309999999998,0.0708312938425565,639700,465963.52,0.7284094419259028,6585.48,60.0,109.758,2697.2799999999997,4.0,674.3199999999999,85.0
M18363,东莞市久驰汽车贸易有限公司,东莞市久驰,广东省,东莞市,东莞久驰,正常,南区,张裕坤,286200,124766.89999999994,0.4359430468204051,713400,550889.71,0.7722031258760863,17136.0,78.0,219.69230769230768,52874.119999999995,0.0,,122.0
