经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
M18511,温州将军汽车销售服务有限公司,东区,东区,陈秋刚,,371000.0,371000,428000.0,1170000,1170000,371000,371000,428000,
M18333,无锡荣事达汽车贸易服务有限公司,东区,东区,晏礼奎,,537000.0,537000,620000.0,1694000,1694000,537200,537200,619600,
M18018,诸暨国赛汽车有限公司,东区,东区,李波,,215000.0,215000,248000.0,678000,678000,215000,215000,248000,
M18539,南通银达汽车销售服务有限公司,东区,东区,张晔,,431000.0,431000,498000.0,1360000,1360000,431300,431300,497400,
A24515,上海弘绅汽车销售服务有限公司,东区,东区,张晔,,421000.0,421000,486000.0,1328000,1328000,421100,421100,485800,
M18121,扬州天盛达汽车贸易有限公司,东区,东区,钱曦,无,433000.0,433000,500000.0,1366000,273200,86700,86700,99800,
A13300,泰州天顺达汽车贸易有限公司,东区,东区,钱曦,,295000.0,295000,341000.0,931000,931000,295200,295200,340600,
M18070,泰兴市天利达汽车贸易有限公司,东区,东区,钱曦,,135000.0,135000,156000.0,426000,426000,135100,135100,155800,
A26215,桐乡市振华汽车贸易有限公司,东区,东区,张晔,,254000.0,254000,293000.0,801000,801000,254000,254000,293000,
M18519,宁波合辰汽车销售服务有限公司,东区,东区,李波,,318000.0,318000,366000.0,1002000,1002000,317800,317800,366400,
A26095,太仓华洋汽车销售服务有限公司,东区,东区,晏礼奎,,214000.0,214000,247000.0,675000,675000,214100,214100,246800,
M18319,慈溪市新亚汽车销售服务有限公司,东区,东区,陈秋刚,,169000.0,169000,194000.0,532000,532000,168700,168700,194600,
M18239,丽水旺昌汽车销售服务有限公司,东区,东区,陈秋刚,,153000.0,153000,177000.0,483000,483000,153200,153200,176600,
A30475,浙江中振贸易有限公司,东区,东区,陈秋刚,无,166000.0,166000,191000.0,523000,104600,33200,33200,38200,
A13313,宁波万事得汽车有限公司,东区,东区,李波,,54000.0,54000,63000.0,171000,171000,54300,54300,62400,
M18240,淮安市雨田领辰汽车销售服务有限公司,东区,东区,钱曦,有,173000.0,173000,200000.0,546000,327600,103900,103900,119800,
M18083,镇江天佑汽车销售服务有限公司,东区,东区,钱曦,,238000.0,238000,275000.0,751000,751000,238200,238200,274600,
,,,,,,,,,,,,,,
南一区,南一区,南区,南一区,南一区,,13535000.0,13535000,15611000.0,42681000,41960200,13306500,13096900,14922240,
南二区,南二区,南二区,南二区,南二区,,6204000.0,6204000,7156000.0,19564000,19124000,6065100,6065100,6371480,21293720
北区,北区,北区,北区,北区,,8085000.0,8085000,9323000.0,24843000,24843000,7878400,7878400,9086200,
中区,中区,中区,中区,中区,,9312000.0,9312000,10744000.0,29368000,27423200,8696600,8507360,9811680,
西区,西区,西区,西区,西区,,9694000.0,9694000,11185000.0,30573000,29006200,9198100,9198100,10610000,
东区,东区,东区,东区,东区,,19648000.0,19648000,22669000.0,61965000,58202200,18456700,18456700,21288800,
全国,全国,全国,全国,全国,,66478000.0,66478000,76688000.0,208994000,200558800,63601400,63202560,72090400,
,,,,祁玮,,,,,,5911000,1874600,1874600,2161800,
,,,,唐宏宇,,,,,,9406000,2982800,2982800,3440400,
,,,,邵传海,,,,,,4109000,1303100,1303100,1502800,
,,,,鲁金泽,,,,,,5417000,1717900,1717900,1981200,
,,,,钱曦,,,,,,8887000,2818400,2818400,3250200,
,,,,张晔,,,,,,13960000,4426700,4426700,5106600,
,,,,陈秋刚,,,,,,6207600,1968500,1968500,2270600,
,,,,李波,,,,,,15954600,5059300,5059300,5836000,
,,,,晏礼奎,,,,,,13193000,4183800,4183800,4825400,
,,,,李志杰,,,,,,10286000,3262100,3262100,3201800,
,,,,陈建民,,,,,,3952000,1253400,1253400,1382880,
,,,,宋扬,,,,,,15130600,4798000,4798000,5534600,
,,,,薛仲锋,,,,,,14212600,4507400,4297800,4772840,
,,,,王胜文,,,,,,10661000,3380800,3380800,3899400,
