经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
A13338,东莞市通益汽车销售服务有限公司,东莞市通益,广东省,东莞市,深圳通利华,正常,南区,张裕坤,121876.14000000004,51399.78,,,,,,,,,,,918.0,522.0,,,,,,,,,,
M18331,淮安市宏宇翔舜汽车销售服务有限公司,淮安市宏宇翔,江苏省,淮安市,淮安宏宇,正常,东区,钱曦,44065.5,81283.40999999999,,,,,,,,,,,237.0,283.0,,,,,,,,,,
M18069,中国长安汽车集团天津销售有限公司,中国长安,天津市,天津市,中国长安,正常,北区,邵传海,51016.13999999999,29008.140000000003,,,,,,,,,,,224.0,153.0,,,,,,,,,,
A17996,苏州瀚龙汽车销售有限公司,苏州瀚龙,江苏省,苏州市,瀚龙集团,正常,东区,晏礼奎,125162.73000000004,39536.67,,,,,,,,,,,375.0,621.0,,,,,,,,,,
M18539,南通银达汽车销售服务有限公司,南通银达,江苏省,南通市,南通银达,正常,东区,陈秋刚,96855.42000000001,50637.479999999996,,,,,,,,,,,374.0,348.0,,,,,,,,,,
A19820,佛山市耀田汽车有限公司,佛山市耀田,广东省,佛山市,南宝集团,正常,南区,宋扬,33514.5,58702.8,,,,,,,,,,,629.0,291.0,,,,,,,,,,
A13340,中山市万事得汽车销售服务有限公司,中山市万事得,广东省,中山市,中山万事得,正常,南区,宋扬,55181.55,106744.5,,,,,,,,,,,370.0,319.0,,,,,,,,,,
M18245,常德汇智汽车销售服务有限公司,常德汇智,湖南省,常德市,湖南长驰,正常,南区,李志杰,59045.04,65333.4,,,,,,,,,,,445.0,341.0,,,,,,,,,,
A15116,柳州鑫广达博骏汽车销售服务有限公司,鑫广达博骏,广西壮族自治区,柳州市,长久集团,正常,南区,薛仲锋,71788.5,54655.5,,,,,,,,,,,528.0,313.0,,,,,,,,,,
M18009,桂林鑫广达博骏汽车销售服务有限公司,桂林鑫广达博,广西壮族自治区,桂林市,长久集团,正常,南区,薛仲锋,62858.009999999995,69590.28,,,,,,,,,,,404.0,293.0,,,,,,,,,,
M18365,中山市中达汽车销售服务有限公司,中山市中达,广东省,中山市,中山万事得,正常,南区,宋扬,57472.469999999994,70663.38,,,,,,,,,,,486.0,341.0,,,,,,,,,,
